id,count_childs,count_name_parent_childs
5639,5,5
727525,1091,1091
810835,134,134
738684,378,378
2847163,0,49
3029962,0,378
462233,0,310
931948,10,378
1459280,13,13
3523501,41,41
5689129,0,0
8569771,1,1
8446092,1,1
10475430,1,1
50424459,0,49
50430275,0,378
50628177,0,49
50628213,0,49
17030915,0,378
17031819,2,2
18493243,0,378
18641015,1,1
50803338,0,378
50946295,1,1
51065699,1,1
51145750,1,1
50314996,0,49
61654939,1,1
486961,1,1
524462,1,1
544208,79,79
651083,2,200
655778,3,3
547798,21,21
565445,0,0
570987,0,134
474864,0,0
493476,0,0
825092,2,2
698306,12,12
724430,62,62
727279,585,585
727663,338,338
731691,304,304
733739,219,219
735231,5,5
735877,30,30
811296,147,147
813417,6,6
725248,447,447
725258,140,171
725583,70,70
726395,6,6
727093,29,29
729773,1,5
730151,85,85
736796,48,48
1913523,0,134
3078203,1,1
3081592,1,1
3162058,1,1
2657216,878,878
2672945,0,171
2681136,1,1
2572404,42,200
2817351,0,62
2888459,1,1
2848235,0,62
3002873,1,1
2957253,1,1
2662261,0,0
1763237,0,10
1643465,1,1
2548017,0,62
2547979,0,62
2547992,0,62
2547993,0,62
2548002,0,62
2548009,0,62
1550357,1,1
1368017,0,171
1056883,3,219
36023,4,4
1019474,105,219
354157,0,219
1015511,11,11
987293,1,1
991263,5,19
226674,13,13
28436,11,11
30546,1,1
1178935,0,81
1234434,1,1
597210,27,70
640509,0,0
450686,2,2
646152,1,1
833398,111,111
842012,57,57
894029,0,50
1416633,0,50
1421684,19,35
303,71,6
13344,0,171
14476,6,6
14485,2,2
14487,9,9
14695,6,6
15073,2,2
15652,0,0
2874,15,7
8718,3,5
13520,2,2
14595,3,555
15158,5,5
15559,39,39
33392,6,6
37505,8,19
1091360,2,61
1092068,0,62
1060070,2,108
1083994,0,146
1080120,0,134
964252,0,0
4048009,1,1
4169028,12,12
5007831,1,1
4992351,1,1
3892190,0,258
3536206,0,1
3983265,0,11
3477458,4,4
4079824,0,30
4083437,1,111
3541526,1,1
